"varname","varlabel","variable_description","vartype","UKBfield","variable_derivation"
"DBP","Mean diastolic BP (mmHg)","The mean of the two diastolic BP measurements recorded at baseline assessment","Float","94, 4080","The BP measurements could be either manual or automatic; the average of the two diastolic measurements by either method was calculated"
"evidenceHTN_","Evidence of hypertension",NA,"Boolean","93, 94, 4079, 4080, 6150, 6153, 6177, 20002, 20003","If mean BP at baseline >= 140/90 OR if the participant self-reported a diagnosis of hypertension in either the touchscreen questionnaire or the verbal interview, OR if the participant self-reported taking medication for their blood pressure or reported taking medications that are categorised as an antihypertensive treatment combination under the rubric."
"gender","Gender","Participant's self-reported gender","Boolean","31",NA
"treated_","Treated for hypertension","Among participants who were aware of their hypertension, if they self-reported taking BP meds or the list of medication they provided in verbal interview was found to include a standard hypertensive treatment regimen then they were considered to be treated for hypertension","Boolean","6153, 6177, 20003","If the participant self-reported taking medication for their blood pressure or reported taking medications that are categorised as an antihypertensive treatment combination under the rubric."
"controlled_","Controlled hypertension","Among participants who were taking treatment for hypertension, if their mean measured BP at baseline assessment was < 140/90 then they was considered to be successfully controlling their BP","Boolean","93, 94, 4079, 4080","The mean BP at baseline was calculated by taking the means of the systolic and diastolic measurements at baseline, either automatic or manual."
"age","Age at baseline assessment","Age of participant at baseline assessment","Float","21003",NA
"ethnicity","Ethnic Group","Ethnic group of the participant","Categorical","21000","""Chinese"" and ""Asian or Asian British"" were coded as ""Asian"". ""Other ethnic group"", ""Mixed"", ""Do not know"" and ""Prefer not to answer"" were coded as ""Other""."
"ISCED","Highest level of education","Education level of participant, coded under the ISCED levels of education","Categorical","6138, 10722","""None of the above"" = ISCED 1; ""CSEs or equivalent"" and ""O levels/GCSEs or equivalent"" = ISCED 2; ""A levels/AS levels or equivalent"" = ISCED 3; ""Other professional qualifications eg: nursing, teaching"" = ISCED 4; ""NVQ or HND or HNC or equivalent"" and ""College or University degree"" = ISCED 5"
"BowelCancerScreening","Previously screened for bowel cancer","An indicator variable for whether the individual had been screened for bowel cancer, included as a proxy for utilisation of health care services","Boolean","2345",NA
"BMIcat","Categorised BMI","Body mass index categorised into Underweight, Normal, Overweight and Obese","Categorical","21001","BMI below 18.5 was considered ""underweight"", between 18.5 and 25 was ""normal"", between 25 and 30 was ""overweight"" and above 30 was ""obese"""
"hypmedsno","Number of hypertensive medications taken","The number of different antihypertensive drugs that a patient is taking (only applicable to those treated for hypertension)","Integer","20003","The number of distinct medications coded as ""potentially BP medications"" that the participant was taking, if they were considered to be on ""probable BP meds"" under the rubric"
"BMI","Body mass index","The participant's body mass index, derived by UKB from the height and weight at baseline assessment","Float","21001",NA
"recdate","Date of recruitment","The date at which the participant attended their baseline assessment","Date","53",NA
