"coding","TL","L1","L2","L3","L4"
1631,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture clavicle / collar bone",
1639,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture finger",
1635,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture forearm / wrist","fracture radius"
1636,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture forearm / wrist","fracture ulna"
1637,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture forearm / wrist","fracture wrist / colles fracture"
1634,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture forearm / wrist",
1638,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture hand",
1632,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture shoulder / scapula",
1640,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture thumb",
1633,"musculoskeletal/trauma","fracture","fracture upper limb & shoulder","fracture upper arm / humerus / elbow",
1644,"musculoskeletal/trauma","fracture","other fractures","fracture rib",
1645,"musculoskeletal/trauma","fracture","other fractures","fracture sternum",
1646,"musculoskeletal/trauma","fracture","other fractures","fracture vertebra / crush fracture / vertebral collapse",
1538,"musculoskeletal/trauma","joint disorder","arthritis (nos)",,
1466,"musculoskeletal/trauma","joint disorder","gout",,
1465,"musculoskeletal/trauma","joint disorder","osteoarthritis",,
1537,"musculoskeletal/trauma","joint disorder","other joint disorder","joint pain",
1467,"musculoskeletal/trauma","joint disorder","other joint disorder",,
1477,"musculoskeletal/trauma","joint disorder","psoriatic arthropathy",,
1464,"musculoskeletal/trauma","joint disorder","rheumatoid arthritis",,
1295,"musculoskeletal/trauma","joint disorder",,,
1541,"musculoskeletal/trauma","muscle/soft tissue problem","carpal tunnel syndrome",,
1544,"musculoskeletal/trauma","muscle/soft tissue problem","dupuytren's contracture",,
1542,"musculoskeletal/trauma","muscle/soft tissue problem","fibromyalgia",,
1406,"musculoskeletal/trauma","muscle/soft tissue problem","muscle or soft tissue injuries",,
1322,"musculoskeletal/trauma","muscle/soft tissue problem","myositis/myopathy",,
1540,"musculoskeletal/trauma","muscle/soft tissue problem","plantar fascitis",,
1624,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","bursitis","housemaid's knee (prepatellar bursitis)"
1620,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","bursitis",
1623,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","epicondylitis","tennis elbow / lateral epicondylitis"
1622,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","epicondylitis",
1621,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","synovitis",
1619,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation","tendonitis / tendinitis / tenosynovitis",
1618,"musculoskeletal/trauma","muscle/soft tissue problem","soft tissue inflammation",,
1297,"musculoskeletal/trauma","muscle/soft tissue problem",,,
1478,"musculoskeletal/trauma","neck problem/injury","cervical spondylosis",,
1545,"musculoskeletal/trauma","neck problem/injury",,,
1613,"neurology/eye/psychiatry","eye/eyelid problem","blepharitis / eyelid infection",,
1278,"neurology/eye/psychiatry","eye/eyelid problem","cataract",,
1276,"neurology/eye/psychiatry","eye/eyelid problem","diabetic eye disease",,
1529,"neurology/eye/psychiatry","eye/eyelid problem","dry eyes",,
1274,"neurology/eye/psychiatry","eye/eyelid problem","eye infection",,
1279,"neurology/eye/psychiatry","eye/eyelid problem","eye trauma",,
1277,"neurology/eye/psychiatry","eye/eyelid problem","glaucoma",,
1530,"neurology/eye/psychiatry","eye/eyelid problem","iritis",,
1435,"neurology/eye/psychiatry","eye/eyelid problem","optic neuritis",,
1528,"neurology/eye/psychiatry","eye/eyelid problem","retinal problem","macular degeneration",
1282,"neurology/eye/psychiatry","eye/eyelid problem","retinal problem","retinal artery/vein occlusion",
1281,"neurology/eye/psychiatry","eye/eyelid problem","retinal problem","retinal detachment",
1527,"neurology/eye/psychiatry","eye/eyelid problem","retinal problem","retinitis pigmentosa",
1275,"neurology/eye/psychiatry","eye/eyelid problem","retinal problem",,
1242,"neurology/eye/psychiatry","eye/eyelid problem",,,
1266,"neurology/eye/psychiatry","neurological injury/trauma","head injury",,
1394,"neurology/eye/psychiatry","neurological injury/trauma","peripheral nerve injury",,
1267,"neurology/eye/psychiatry","neurological injury/trauma","spinal injury",,
1240,"neurology/eye/psychiatry","neurological injury/trauma",,,
1433,"neurology/eye/psychiatry","neurology","cerebral palsy",,
1263,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","dementia/alzheimers/cognitive impairment",
1259,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","motor neurone disease",
1261,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","multiple sclerosis",
1260,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","myasthenia gravis",
1397,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","other demyelinating disease (not multiple sclerosis)",
1262,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem","parkinsons disease",
1258,"neurology/eye/psychiatry","neurology","chronic/degenerative neurological problem",,
1250,"neurology/eye/psychiatry","neurology","cranial nerve problem/palsy","bell's palsy/facial nerve palsy",
1523,"neurology/eye/psychiatry","neurology","cranial nerve problem/palsy","trigemminal neuralgia",
1249,"neurology/eye/psychiatry","neurology","cranial nerve problem/palsy",,
1264,"neurology/eye/psychiatry","neurology","epilepsy",,
1245,"neurology/eye/psychiatry","neurology","infection of nervous system","brain abscess/intracranial abscess",
1246,"neurology/eye/psychiatry","neurology","infection of nervous system","encephalitis",
1247,"neurology/eye/psychiatry","neurology","infection of nervous system","meningitis",
1248,"neurology/eye/psychiatry","neurology","infection of nervous system","spinal abscess",
1244,"neurology/eye/psychiatry","neurology","infection of nervous system",,
1265,"neurology/eye/psychiatry","neurology","migraine",,
1525,"neurology/eye/psychiatry","neurology","other neurological problem","benign / essential tremor",
1683,"neurology/eye/psychiatry","neurology","other neurological problem","benign neuroma",
1436,"neurology/eye/psychiatry","neurology","other neurological problem","headaches (not migraine)",
1659,"neurology/eye/psychiatry","neurology","other neurological problem","meningioma / benign meningeal tumour",
1437,"neurology/eye/psychiatry","neurology","other neurological problem","myasthenia gravis",
1526,"neurology/eye/psychiatry","neurology","other neurological problem","polio / poliomyelitis",
1434,"neurology/eye/psychiatry","neurology","other neurological problem",,
1256,"neurology/eye/psychiatry","neurology","peripheral nerve disorder","acute infective polyneuritis/guillain-barre syndrome",
1468,"neurology/eye/psychiatry","neurology","peripheral nerve disorder","diabetic neuropathy/ulcers",
1255,"neurology/eye/psychiatry","neurology","peripheral nerve disorder","peripheral neuropathy",
1257,"neurology/eye/psychiatry","neurology","peripheral nerve disorder","trapped nerve/compressed nerve",
1254,"neurology/eye/psychiatry","neurology","peripheral nerve disorder",,
1252,"neurology/eye/psychiatry","neurology","spinal cord disorder","paraplegia",
1524,"neurology/eye/psychiatry","neurology","spinal cord disorder","spina bifida",
1251,"neurology/eye/psychiatry","neurology","spinal cord disorder",,
1470,"neurology/eye/psychiatry","psychological/psychiatric problem","anorexia/bulimia/other eating disorder",,
